date,tiempo,mu
16/11/2002,0.088897905,0.00134
17/11/2002,0.089022988,0.00135
18/11/2002,0.089139249,0.00136
19/11/2002,0.089255511,0.00136
20/11/2002,0.089371773,0.00137
21/11/2002,0.089488035,0.00137
22/11/2002,0.089604296,0.00138
23/11/2002,0.089720558,0.00138
24/11/2002,0.08983682,0.00139
25/11/2002,0.089941699,0.00139
26/11/2002,0.090046579,0.0014
27/11/2002,0.090151459,0.0014
28/11/2002,0.090256338,0.00141
29/11/2002,0.090387438,0.00141
30/11/2002,0.090518538,0.00142
01/12/2002,0.090649637,0.00142
02/12/2002,0.090780737,0.00143
03/12/2002,0.090911836,0.00143
04/12/2002,0.091042936,0.00144
05/12/2002,0.091174036,0.00144
06/12/2002,0.091305135,0.00144
07/12/2002,0.091436235,0.00145
08/12/2002,0.091559244,0.00145
09/12/2002,0.091682254,0.00145
10/12/2002,0.091805263,0.00146
11/12/2002,0.091928273,0.00146
12/12/2002,0.092051282,0.00146
13/12/2002,0.092174292,0.00147
14/12/2002,0.092279167,0.00147
15/12/2002,0.092384043,0.00147
16/12/2002,0.092488918,0.00147
17/12/2002,0.092593794,0.00147
18/12/2002,0.092698669,0.00148
19/12/2002,0.092803545,0.00148
20/12/2002,0.092934639,0.00148
21/12/2002,0.093065734,0.00148
22/12/2002,0.093229602,0.00148
23/12/2002,0.093434437,0.00148
24/12/2002,0.093639272,0.00148
25/12/2002,0.093844107,0.00148
26/12/2002,0.094029802,0.00148
27/12/2002,0.094215497,0.00148
28/12/2002,0.094401192,0.00148
29/12/2002,0.094555623,0.00148
30/12/2002,0.094697523,0.00148
31/12/2002,0.094839422,0.00148
01/01/2003,0.094981322,0.00147
02/01/2003,0.095123222,0.00147
03/01/2003,0.095265121,0.00147
04/01/2003,0.095398717,0.00147
05/01/2003,0.095532313,0.00147
06/01/2003,0.095665909,0.00146
07/01/2003,0.095799505,0.00146
08/01/2003,0.095933101,0.00146
09/01/2003,0.096066697,0.00145
10/01/2003,0.096200293,0.00145
11/01/2003,0.096333889,0.00145
12/01/2003,0.096500884,0.00144
13/01/2003,0.096667879,0.00144
14/01/2003,0.096834874,0.00143
15/01/2003,0.097001869,0.00143
16/01/2003,0.097168864,0.00142
17/01/2003,0.097335859,0.00142
18/01/2003,0.097502854,0.00141
19/01/2003,0.097660749,0.00141
20/01/2003,0.097808,0.0014
21/01/2003,0.097940685,0.0014
22/01/2003,0.09807337,0.00139
23/01/2003,0.098206056,0.00139
24/01/2003,0.098338741,0.00138
25/01/2003,0.098462982,0.00138
26/01/2003,0.098580117,0.00137
27/01/2003,0.098697252,0.00137
28/01/2003,0.098814387,0.00136
29/01/2003,0.098931522,0.00136
30/01/2003,0.09907794,0.00135
31/01/2003,0.099224359,0.00135
01/02/2003,0.099407382,0.00134
02/02/2003,0.099590405,0.00133
03/02/2003,0.099773429,0.00132
04/02/2003,0.09994586,0.00131
05/02/2003,0.1,0.00131
06/02/2003,0.100172431,0.0013
07/02/2003,0.100344863,0.00129
08/02/2003,0.100508632,0.00128
09/02/2003,0.100657657,0.00127
10/02/2003,0.100806682,0.00126
11/02/2003,0.100955707,0.00126
12/02/2003,0.101104732,0.00125
13/02/2003,0.101253757,0.00124
14/02/2003,0.101440038,0.00123
15/02/2003,0.10161288,0.00122
