tiempo,mu
0.130024732,0.00058
0.130173454,0.00058
0.130322177,0.000579
0.1304709,0.000578
0.130609583,0.000577
0.130728471,0.000577
0.130833698,0.000576
0.130916837,0.000576
0.130999976,0.000575
0.131083116,0.000575
0.131166255,0.000575
0.131249394,0.000574
0.131353318,0.000574
0.131457242,0.000574
0.131561166,0.000573
0.13166509,0.000573
0.131769014,0.000573
0.131872938,0.000573
0.131976862,0.000573
0.132062888,0.000572
0.132148915,0.000572
0.132223451,0.000572
0.132297988,0.000572
0.132372524,0.000572
0.13244706,0.000572
0.132521596,0.000572
0.132614767,0.000572
0.132707937,0.000572
0.1328244,0.000572
0.132969979,0.000572
0.133151952,0.000572
0.133379418,0.000572
0.133606885,0.000573
0.133800714,0.000573
0.133994543,0.000573
0.134144223,0.000573
0.134263552,0.000573
0.134382882,0.000574
0.134502212,0.000574
0.134621542,0.000574
0.134740872,0.000575
0.134860202,0.000575
0.134979531,0.000576
0.135098861,0.000576
0.135218191,0.000577
0.135337521,0.000577
0.135456851,0.000578
0.135576181,0.000579
0.13569551,0.00058
0.13581484,0.000581
0.13593417,0.000582
0.136083332,0.000583
0.136269785,0.000585
0.136456238,0.000587
0.136642691,0.000589
0.136813381,0.000591
0.137026743,0.000593
0.137209524,0.000595
0.137347448,0.000597
0.137473069,0.000599
0.13759869,0.000601
0.137724311,0.000604
0.137849932,0.000606
0.137975553,0.000609
0.13813258,0.000612
0.138289606,0.000615
0.138446632,0.000619
0.138603659,0.000623
0.138760685,0.000627
0.138956968,0.000633
0.139153251,0.000638
0.139317853,0.000643
0.139451961,0.000648
0.139586069,0.000652
0.139720176,0.000656
0.139854284,0.000661
0.139969872,0.000665
0.140073176,0.000668
0.140166482,0.000671
0.140259788,0.000675
0.140353094,0.000678
0.1404464,0.000682
0.140539706,0.000685
0.140633013,0.000689
0.140726319,0.000693
0.140842951,0.000697
0.140959584,0.000702
0.141076217,0.000707
0.141222008,0.000713
0.141404246,0.000721
0.141632045,0.000731
0.141859843,0.000741
0.142087641,0.000751
0.14231544,0.000762
0.142543238,0.000772
